episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
340,71.02,0.0,100.0,290.48,2.58,38.13,0.26,0.07
341,63.72,0.0,100.0,363.42,9.7,19.3,0.35,0.08
342,62.02,0.0,100.0,380.37,4.64,25.26,0.41,0.07
343,-21.71,0.47,53.0,523.37,4.94,20.7,0.33,0.05
344,62.75,0.0,100.0,373.12,5.46,28.65,0.25,0.11
345,73.64,0.0,100.0,264.31,8.24,29.51,0.1,0.08
346,63.87,0.0,100.0,361.95,3.95,28.81,0.3,0.07
347,62.56,0.0,100.0,374.99,6.68,25.85,0.31,0.07
348,65.31,0.0,100.0,347.57,13.48,11.59,0.4,0.08
349,85.05,0.0,100.0,150.34,8.65,18.02,0.36,0.12
350,64.62,0.0,100.0,354.44,12.74,15.21,0.4,0.08
351,58.14,0.01,99.0,403.25,7.08,20.07,0.55,0.07
352,58.98,0.0,100.0,410.79,9.62,21.35,0.35,0.07
353,56.28,0.01,99.0,422.01,3.33,37.13,0.43,0.07
354,-44.29,0.61,39.0,571.98,9.08,15.82,0.47,0.05
355,70.88,0.0,100.0,291.89,7.72,23.51,0.29,0.07
356,78.52,0.0,100.0,215.62,9.0,17.19,0.21,0.06
357,64.32,0.0,100.0,357.39,10.06,17.32,0.44,0.07
358,77.52,0.0,100.0,225.61,2.9,39.43,0.07,0.07
359,15.15,0.25,75.0,465.25,6.72,24.5,0.21,0.06
360,58.82,0.0,100.0,412.43,15.2,9.87,0.19,0.09
361,53.02,0.06,94.0,372.74,5.13,30.41,0.14,0.07
362,57.61,0.0,100.0,424.51,3.48,38.19,0.42,0.08
363,71.29,0.0,100.0,287.79,11.88,16.43,0.15,0.08
364,74.82,0.0,100.0,252.51,7.12,23.36,0.1,0.1
365,70.83,0.0,100.0,292.44,5.56,33.74,0.28,0.06
366,65.53,0.0,100.0,345.35,10.78,18.7,0.47,0.08
367,57.46,0.07,93.0,307.63,6.65,24.71,0.24,0.07
368,7.94,0.29,71.0,480.21,2.96,31.14,0.47,0.06
369,65.06,0.0,100.0,350.09,6.15,26.79,0.14,0.07
370,61.22,0.0,100.0,388.41,7.08,22.46,0.07,0.07
371,63.18,0.0,100.0,368.81,9.52,22.34,0.16,0.07
372,13.67,0.24,76.0,504.85,7.47,28.85,0.3,0.06
373,64.74,0.0,100.0,353.21,6.07,30.16,0.27,0.1
374,76.82,0.0,100.0,232.59,5.46,29.75,0.06,0.08
375,58.02,0.0,100.0,420.34,8.92,18.75,0.24,0.08
376,63.29,0.01,99.0,351.21,2.96,28.27,0.14,0.1
377,25.15,0.19,81.0,455.46,9.26,20.33,0.17,0.08
378,60.98,0.0,100.0,390.76,4.86,25.74,0.36,0.1
379,63.22,0.0,100.0,368.45,6.12,26.78,0.14,0.08
380,54.61,0.05,95.0,373.1,3.93,30.29,0.23,0.08
381,62.23,0.03,97.0,328.21,3.28,34.27,0.3,0.09
382,47.93,0.06,94.0,426.89,6.12,23.09,0.2,0.11
383,57.29,0.0,100.0,427.66,16.0,10.06,0.29,0.12
384,76.32,0.0,100.0,237.56,7.44,24.42,0.11,0.11
385,72.74,0.0,100.0,273.35,4.07,32.74,0.17,0.09
386,65.13,0.0,100.0,349.38,6.68,29.17,0.27,0.09
387,67.16,0.0,100.0,329.11,10.43,14.57,0.24,0.1
388,60.88,0.0,100.0,391.8,2.94,36.36,0.34,0.09
389,59.42,0.01,99.0,390.33,7.6,22.0,0.54,0.09
390,73.09,0.0,100.0,269.79,10.96,14.83,0.19,0.09
391,67.88,0.0,100.0,321.85,5.84,30.55,0.41,0.09
